"questionId","category","difficulty","questionContent","answerA","answerB","answerC","answerD","correctAnswerIndex","correctAnswerLetter","correctAnswerText","sourceFile","createdAt"
"q_1","Tổng quan An toàn thông tin","Medium","Mô hình tổng quát đảm bảo an toàn thông tin và hệ thống thông tin thường gồm các lớp:","An ninh tổ chức, An ninh mạng và Điều khiển truy cập","An ninh tổ chức, Tưởng lửa và Điều khiển truy cập","An ninh tổ chức, An ninh mạng và An toàn hệ điều hành và ứng dụng","An ninh tổ chức, An ninh mạng và An ninh hệ thống","3","D","An ninh tổ chức, An ninh mạng và An ninh hệ thống","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785650"
"q_2","Tổng quan An toàn thông tin","Medium","An toàn thông tin gồm hai lĩnh vực chính là:","An ninh mạng và An toàn hệ thống","An toàn máy tính và An toàn Internet","An toàn máy tính và An ninh mạng","An toàn công nghệ thông tin và Đảm bảo thông tin","3","D","An toàn công nghệ thông tin và Đảm bảo thông tin","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785668"
"q_3","Tổng quan An toàn thông tin","Easy","Tại sao cần phải đảm bảo an toàn cho thông tin?","Do có nhiều thiết bị kết nối mạng Internet với nhiều nguy cơ và đe dọa","Do có quá nhiều phần mềm độc hại","Do có quá nhiều nguy cơ tấn công mạng","Do có nhiều thiết bị kết nối mạng Internet","0","A","Do có nhiều thiết bị kết nối mạng Internet với nhiều nguy cơ và đe dọa","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785673"
"q_4","Tổng quan An toàn thông tin","Medium","An toàn hệ thống thông tin là:","Việc đảm bảo thông tin trong hệ thống không bị đánh cắp","Việc đảm bảo cho hệ thống thông tin hoạt động trơn tru, ổn định","Việc đảm bảo cho hệ thống thông tin không bị tấn công","Việc đảm bảo các thuộc tính an ninh, an toàn của hệ thống thông tin","3","D","Việc đảm bảo các thuộc tính an ninh, an toàn của hệ thống thông tin","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785677"
"q_5","Tổng quan An toàn thông tin","Medium","Người sử dụng hệ thống thông tin quản lý trong mô hình 4 loại hệ thống thông tin là:","Quản lý cao cấp","Giám đốc điều hành","Nhân viên","Quản lý bộ phận","3","D","Quản lý bộ phận","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785680"
"q_6","Tổng quan An toàn thông tin","Easy","Nguyên tắc cơ bản cho đảm bảo an toàn thông tin, hệ thống và mạng là:","Phòng vệ nhiều lớp có chiều sâu","Cần đầu tư trang thiết bị và chuyên gia đảm bảo an toàn","Cần mua sắm và lắp đặt nhiều thiết bị an ninh chuyên dụng","Cân bằng giữa tính hữu dụng, chi phí và tính năng","0","A","Phòng vệ nhiều lớp có chiều sâu","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785683"
"q_7","Tổng quan An toàn thông tin","Hard","Một trong các nội dung rất quan trọng của quản lý an toàn thông tin là:","Quản lý các ứng dụng","Quản lý hệ thống","Quản lý hệ điều hành","Quản lý rủi ro","3","D","Quản lý rủi ro","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785687"
"q_8","Tổng quan An toàn thông tin","Medium","Một thông điệp có nội dung nhạy cảm truyền trên mạng bị sửa đổi. Các thuộc tính an toàn thông tin nào bị vi phạm?","Bí mật, Toàn vẹn và sẵn dùng","Bí mật và Toàn vẹn","Bí mật","Toàn vẹn","1","B","Bí mật và Toàn vẹn","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785690"
"q_9","Tổng quan An toàn thông tin","Easy","Nguy cơ bị tấn công từ chối dịch vụ (DoS) và từ chối dịch vụ phân tán (DDoS) thường gặp ở vùng nào trong 7 vùng cơ sở hạ tầng CNTT?","Vùng máy trạm","Vùng mạng WAN","Vùng mạng LAN-to-WAN","Vùng mạng LAN","1","B","Vùng mạng WAN","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785693"
"q_10","Tổng quan An toàn thông tin","Medium","An toàn thông tin (Information Security) là gì?","Là việc phòng chống đánh cắp thông tin","Là việc bảo vệ chống truy nhập, sử dụng, tiết lộ, sửa đổi, hoặc phá hủy thông tin một cách trái phép","Là việc bảo vệ chống sử dụng, tiết lộ, sửa đổi, vận chuyển hoặc phá hủy thông tin một cách trái phép","Là việc phòng chống tấn công mạng","1","B","Là việc bảo vệ chống truy nhập, sử dụng, tiết lộ, sửa đổi, hoặc phá hủy thông tin một cách trái phép","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785697"
"q_11","Tổng quan An toàn thông tin","Medium","Một trong các biện pháp cụ thể cho quản lý, khắc phục các lỗ hổng bảo mật và tăng cường khả năng đề kháng cho hệ thống là:","Định kỳ cập nhật thông tin về các lỗ hổng từ các trang web chính thức","Định kỳ cập nhật các bản vá và nâng cấp hệ điều hành","Định kỳ nâng cấp hệ thống phần mềm","Định kỳ nâng cấp hệ thống phần cứng","-1","@","","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785700"
"q_12","Tổng quan An toàn thông tin","Easy","Các mật khẩu nào sau đây là khó phá nhất đối với một hacker ?","password83","reception","!$aLtNb83","LaT3r","2","C","!$aLtNb83","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785703"
"q_13","Tổng quan An toàn thông tin","Medium","Trong tấn công khai thác lỗi tràn bộ đệm, tin tặc thường sử dụng một số lệnh NOP (No Operation) ở phần đầu của mã tấn công. Mục đích của việc này là để:","Tăng khả năng phá hoại của mã tấn công","Tăng khả năng gây tràn bộ đệm","Tăng khả năng mã tấn công được thực hiện","Tăng khả năng gây lỗi chương trình","2","C","Tăng khả năng mã tấn công được thực hiện","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785706"
"q_14","Tổng quan An toàn thông tin","Hard","Tìm phát biểu đúng trong các phát biểu sau:","Điểm yếu hệ thống chỉ xuất hiện trong các mô đun phần mềm","Điểm yếu chỉ xuất hiện khi hệ thống bị tấn công","Điểm yếu hệ thống có thể xuất hiện trong cả các mô đun phần cứng và phần mềm","Điểm yếu hệ thống chỉ xuất hiện trong các mô đun phần cứng","2","C","Điểm yếu hệ thống có thể xuất hiện trong cả các mô đun phần cứng và phần mềm","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785709"
"q_15","Tổng quan An toàn thông tin","Easy","Người sử dụng hệ thống trợ giúp ra quyết định trong mô hình 4 loại hệ thống thông tin là:","Quản lý cao cấp","Giám đốc điều hành","Nhân viên","Quản lý bộ phận","0","A","Quản lý cao cấp","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785713"
"q_16","Tổng quan An toàn thông tin","Medium","Các thành phần chính của hệ thống máy tính gồm:","CPU, Bộ nhớ, HDD, hệ điều hành và các ứng dụng","CPU, hệ điều hành và các ứng dụng","Hệ thống phần cứng và Hệ thống phần mềm","CPU, Bộ nhớ, HDD và Hệ thống bus truyền dẫn","2","C","Hệ thống phần cứng và Hệ thống phần mềm","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785716"
"q_17","Tổng quan An toàn thông tin","Medium","Nguyên nhân của sự tồn tại các điểm yếu trong hệ thống có thể do:","Lỗi thiết kế, lỗi cài đặt và lập trình","Tất cả các khâu trong quá trình phát triển và vận hành","Lỗi quản trị","Lỗi cấu hình hoạt động","1","B","Tất cả các khâu trong quá trình phát triển và vận hành","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785719"
"q_18","Tổng quan An toàn thông tin","Easy","Trên thực tế, có thể giảm khả năng bị tấn công nếu có thể...","Triệt tiêu được hết các nguy cơ","Triệt tiêu được hết các mối đe dọa","Giảm thiểu các lỗ hổng bảo mật","Kiểm soát chặt chẽ người dùng","0","A","Triệt tiêu được hết các nguy cơ","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785722"
"q_19","Tổng quan An toàn thông tin","Medium","Sâu SQL Slammer tấn công khai thác lỗi tràn bộ đệm trong hệ quản trị cơ sở dữ liệu:","SQL Server 2012","SQL Server 2000","SQL Server 2008","SQL Server 2003","3","D","SQL Server 2003","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785725"
"q_20","Tổng quan An toàn thông tin","Medium","Trong suốt quá trình kiểm định một bản ghi hệ thống máy chủ, các mục nào sau đây có thể được xem như là một khả năng đe dọa bảo mật ?","Năm lần nổ lực login thất bại trên tài khoản “jsmith”","Hai lần login thành công với tài khoản Administrator","Năm trăm ngàn công việc in được gởi đến một máy in","Ba tập tin mới được lưu trong tài khoản thư mục bởi người sử dụng là “finance”","0","A","Năm lần nổ lực login thất bại trên tài khoản “jsmith”","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785728"
"q_21","Tổng quan An toàn thông tin","Easy","Các kỹ thuật và công cụ thường được sử dụng trong an ninh mạng bao gồm:","VPN, SSL/TLS, PGP","Điều khiển truy nhập","Điều khiển truy nhập, tường lửa, proxy và các giao thức bảo mật, ứng dụng dựa trên mật mã","Tường lửa, proxy","2","C","Điều khiển truy nhập, tường lửa, proxy và các giao thức bảo mật, ứng dụng dựa trên mật mã","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785732"
"q_22","Tổng quan An toàn thông tin","Medium","Các thành phần của an toàn thông tin gồm:","An toàn máy tính, An ninh mạng, Quản lý ATTT và Chính sách ATTT","An toàn máy tính và dữ liệu, An ninh mạng, Quản lý ATTT và Chính sách ATTT","An toàn máy tính, An ninh mạng, Quản lý rủi ro ATTT và Chính sách ATTT","An toàn máy tính, An toàn dữ liệu, An ninh mạng, Quản lý ATTT","1","B","An toàn máy tính và dữ liệu, An ninh mạng, Quản lý ATTT và Chính sách ATTT","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785735"
"q_23","Tổng quan An toàn thông tin","Medium","Các yêu cầu cơ bản trong đảm bảo an toàn thông tin và an toàn hệ thống thông tin gồm:","Bảo mật, Toàn vẹn và Khả dụng","Bảo mật, Toàn vẹn và Sẵn dùng","Bí mật, Toàn vẹn và Sẵn dùng","Bí mật, Toàn vẹn và không chối bỏ","2","C","Bí mật, Toàn vẹn và Sẵn dùng","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785738"
"q_24","Tổng quan An toàn thông tin","Easy","Việc thực thi quản lý ATTT cần được thực hiện theo chu trình lặp lại là do","Các điều kiện bên trong và bên ngoài hệ thống thay đổi theo thời gian","Trình độ cao của tin tặc và công cụ tấn công ngày càng phổ biến","Số lượng và khả năng phá hoại của các phần mềm độc hại ngày càng tăng","Máy tính, hệ điều hành và các phần mềm được nâng cấp nhanh chóng","0","A","Các điều kiện bên trong và bên ngoài hệ thống thay đổi theo thời gian","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785743"
"q_25","Tổng quan An toàn thông tin","Medium","Hệ thống thông tin là:","Một hệ thống tích hợp các thành phần nhằm phục vụ việc thu thập, lưu trữ, xử lý thông tin, chuyển giao thông tin, tri thức và các sản phẩm số","Một hệ thống gồm các thành phần phần cứng và phần mềm nhằm phục vụ việc thu thập, lưu trữ, xử lý thông tin, chuyển giao thông tin","Một hệ thống gồm các thành phần phần cứng nhằm phục vụ việc thu thập, lưu trữ, xử lý thông tin, chuyển giao thông tin, tri thức và các sản phẩm số","Một hệ thống gồm các thành phần phần mềm nhằm phục vụ việc thu thập, lưu trữ, xử lý thông tin, chuyển giao thông tin, tri thức và các sản phẩm số","1","B","Một hệ thống gồm các thành phần phần cứng và phần mềm nhằm phục vụ việc thu thập, lưu trữ, xử lý thông tin, chuyển giao thông tin","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785746"
"q_26","Tổng quan An toàn thông tin","Medium","Tính bí mật của thông tin có thể được đảm bảo bằng:","Bảo vệ vật lý","Các kỹ thuật mã hóa","sử dụng VPN","Bảo vệ vật lý, VPN, hoặc mã hóa","3","D","Bảo vệ vật lý, VPN, hoặc mã hóa","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785749"
"q_27","Tổng quan An toàn thông tin","Easy","Đảm bảo thông tin (Information assurance) thường được thực hiện bằng cách:","Sử dụng kỹ thuật tạo dự phòng ra đĩa cứng","Sử dụng kỹ thuật tạo dự phòng ra băng từ","Sử dụng kỹ thuật tạo dự phòng ngoại vi","Sử dụng kỹ thuật tạo dự phòng cục bộ","2","C","Sử dụng kỹ thuật tạo dự phòng ngoại vi","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785752"
